 ACQUISITION_TIME_SCET  TEC_CURRENT
      672703044.776642     0.054203
      672703045.776566     0.056343
      672703046.776459     0.053490
      672703047.776596     0.052064
      672703048.776596     0.054203
      672703049.776627     0.055630
      672703050.776581     0.053490
      672703051.776550     0.052064
      672703052.776443     0.054203
      672703053.776581     0.055630
      672703054.776611     0.053490
      672703055.776596     0.052064
      672703056.776566     0.054203
      672703057.776596     0.055630
      672703058.776520     0.053490
      672703059.776581     0.052064
      672703060.776489     0.054203
      672703061.776489     0.056343
      672703062.776596     0.053490
      672703063.776535     0.052064
      672703064.776596     0.054203
      672703065.776489     0.056343
      672703066.776596     0.053490
      672703067.776535     0.052064
      672703068.776489     0.054203
      672703069.776550     0.049210
      672703070.776505     0.053490
      672703071.776520     0.052064
      672703072.776520     0.054203
      672703073.776566     0.055630
      672703074.776505     0.053490
      672703075.776459     0.052064
      672703076.776550     0.054203
      672703077.776550     0.049210
      672703078.776505     0.053490
      672703079.776520     0.052064
      672703080.776474     0.047784
      672703081.776352     0.049210
      672703082.776474     0.047071
      672703083.776489     0.045644
      672703084.776474     0.047784
      672703085.776474     0.049210
      672703086.776489     0.047784
      672703087.776505     0.045644
      672703088.776443     0.048497
      672703089.776352     0.049924
      672703090.776428     0.047784
      672703091.776474     0.045644
      672703092.776413     0.048497
      672703093.776321     0.049924
      672703094.776413     0.047784
      672703095.776321     0.046357
      672703096.776428     0.048497
      672703097.776459     0.049924
      672703098.776398     0.047784
      672703099.776413     0.046357
      672703100.776382     0.048497
      672703101.776443     0.049924
      672703102.776459     0.047784
      672703103.776413     0.045644
      672703104.776459     0.048497
      672703105.776398     0.049924
      672703106.776413     0.047784
      672703107.776321     0.045644
      672703108.776443     0.048497
      672703109.776352     0.049924
      672703110.776443     0.047784
      672703111.776352     0.046357
      672703112.776428     0.048497
      672703113.776352     0.049924
      672703114.776428     0.047784
      672703115.776352     0.045644
      672703116.776367     0.048497
      672703117.776428     0.049924
      672703118.776413     0.047784
      672703119.776337     0.046357
      672703120.776367     0.048497
      672703121.776306     0.049924
      672703122.776367     0.054203
      672703123.776337     0.052064
      672703124.776337     0.054917
      672703125.776306     0.056343
      672703126.776352     0.054203
      672703127.776276     0.052064
      672703128.776337     0.054917
      672703129.776276     0.056343
      672703130.776291     0.054203
      672703131.776306     0.052064
      672703132.776352     0.054203
      672703133.776352     0.056343
      672703134.776276     0.054203
      672703135.776337     0.052064
      672703136.776291     0.054203
      672703137.776352     0.056343
      672703138.776260     0.054203
      672703139.776306     0.052064
      672703140.776260     0.054203
      672703141.776306     0.056343
      672703142.776230     0.054203
      672703143.776230     0.052064
      672703144.776215     0.054203
      672703145.776291     0.056343
      672703146.776215     0.054203
      672703147.776291     0.052064
      672703148.776215     0.054203
      672703149.776276     0.055630
      672703150.776215     0.054203
      672703151.776291     0.054203
      672703152.776215     0.054203
      672703153.776291     0.052777
      672703154.776154     0.053490
      672703155.776276     0.054203
      672703156.776154     0.054203
      672703157.776260     0.052064
      672703158.776154     0.053490
      672703159.776260     0.054203
      672703160.776154     0.052064
      672703161.776230     0.052064
      672703162.776199     0.055630
      672703163.776215     0.054203
      672703164.776154     0.052777
      672703165.776184     0.052777
      672703166.776169     0.056343
      672703167.776184     0.054203
      672703168.776230     0.052777
      672703169.776184     0.052064
      672703170.776215     0.056343
      672703171.776138     0.054203
      672703172.776215     0.052777
      672703173.776138     0.052777
      672703174.776215     0.056343
      672703175.776108     0.054203
      672703176.776169     0.052777
      672703177.776031     0.052064
      672703178.776108     0.055630
      672703179.776123     0.054203
      672703180.776138     0.052064
      672703181.776108     0.052064
      672703182.776154     0.055630
      672703183.776108     0.054203
      672703184.776138     0.052064
      672703185.776093     0.052064
      672703186.776154     0.055630
      672703187.776123     0.054203
      672703188.776169     0.052064
      672703189.776108     0.052064
      672703190.776108     0.049924
      672703191.776108     0.054203
      672703192.776138     0.052064
      672703193.776047     0.052064
      672703194.776138     0.056343
      672703195.776047     0.047784
      672703196.776138     0.052064
      672703197.776047     0.052064
