       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:46:09.053056Z,      672702367.779404,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.160168,        270.545650,     271.628907,              269.396940,                    268.557394,        3.259602,    0.063476
2020-12-14T21:46:10.053025Z,      672702368.779373,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.160168,        270.545650,     271.628907,              269.396940,                    268.557394,        3.259602,    0.067042
2020-12-14T21:46:11.052980Z,      672702369.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.160168,        270.456115,     271.628907,              269.396940,                    268.557394,        3.259602,    0.073462
2020-12-14T21:46:12.053025Z,      672702370.779373,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.071527,        270.456115,     271.628907,              269.396940,                    268.557394,        3.259602,    0.071322
2020-12-14T21:46:13.052949Z,      672702371.779297,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.071527,        270.456115,     271.628907,              269.396940,                    268.557394,        3.259602,    0.069182
2020-12-14T21:46:14.052980Z,      672702372.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.071527,        270.366581,     271.628907,              269.396940,                    268.557394,        3.259602,    0.072749
2020-12-14T21:46:15.052964Z,      672702373.779312,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.071527,        270.366581,     271.628907,              269.396940,                    268.557394,        3.259602,    0.065616
2020-12-14T21:46:16.052995Z,      672702374.779343,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        269.982885,        270.366581,     271.737021,              269.396940,                    268.557394,        3.259602,    0.069896
2020-12-14T21:46:17.052964Z,      672702375.779312,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        269.982885,        270.277046,     271.737021,              269.396940,                    268.449408,        3.259602,    0.068469
2020-12-14T21:46:18.052934Z,      672702376.779282,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        269.894244,        270.277046,     271.737021,              269.396940,                    268.557394,        3.259602,    0.071322
2020-12-14T21:46:19.052980Z,      672702377.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        269.894244,        270.277046,     271.737021,              269.396940,                    268.557394,        3.259602,    0.071322
